sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
260-150-007,4.0MM LATCH REAMER,LATCH REAMER - 4.0mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,4.0mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-010,4.5MM LATCH REAMER,LATCH REAMER - 4.5mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,4.5mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-012,5.0MM LATCH REAMER,LATCH REAMER - 5.0mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,5.0mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-016,5.5MM LATCH REAMER,LATCH REAMER - 5.5mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,5.5mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-005,3.5MM LATCH REAMER,LATCH REAMER - 3.5mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,3.5mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-001,2.5MM LATCH REAMER,LATCH REAMER - 2.5mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,2.5mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-004,3.0MM LATCH REAMER,LATCH REAMER - 3.0mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,3.0mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-018,6.0MM LATCH REAMER,LATCH REAMER - 6.0mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,LATCH REAMER,Size,6.0mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-002,3.0MM EXTENDED LATCH REAMER,EXTENDED LATCH REAMER - 3.0mm,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,EXTENDED LATCH REAMER,Size,3.0mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-004,MICRO APPLICATOR TIPS,,"Disposable Micro Applicator Tips feature non-linting fibers and a bendable neck for precise placement of etchants, bonding agents, and hemostatic solutions in hard-to-reach areas.",UnoDent,Unodent,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
